Log
Day,Date,Hours,Mins,Description
1,07/08/18,6,40,Research 3D printer modifications.
2,08/08/18,3,51,Research 3D printer modifications.
3,10/08/18,7,1,Research parts for 3D printer modification.
4,11/08/18,5,50,"Research stepper motors, stepper motor drivers and controller boards for new 3D printer."
5,12/08/18,4,3,Research parts for new 3D printer.
6,13/08/18,1,4,Work on 3D printer design.
7,14/08/18,4,35,"Research extruder and hotend for new 3D printer, decide on clone for now."
8,15/08/18,5,35,Work on 3D printer design.
9,16/08/18,6,27,"Research parts for 3D printer, finalize extruder and hotend, find ethernet cable (idea from Tom’s 3D) and 10AWG for heat bed, also find silicone heat bed."
10,17/08/18,5,13,"Research 3D printer parts, find cheaper alternatives."
11,18/08/18,0,3,Research parts for 3D printer.
12,19/08/18,1,23,Research 3D printer parts.
13,20/08/18,6,8,3D printer part research.
14,21/08/18,4,41,"Work on 3D printer design, shrink OD to 50cm^3 and decide to use CoreXY."
15,22/08/18,3,27,Research parts for new 3D printer.
16,23/08/18,5,10,"Research 3D printer parts, work on bed design."
17,24/08/18,6,14,"Work on 3D printer design, bed platform and drilling options."
18,25/08/18,7,20,"Work on 3D printer bed design, using socket screws in bottom of bed by tapping holes."
19,26/08/18,4,31,"Work on 3D printer design, find dampening feet and finalize bed mounting method and size (33cmx33cmx3/8in)"
20,27/08/18,3,56,"3D printer design, work on final parts list."
21,28/08/18,5,14,"work on 3D printer design, finalize parts list 1."
22,29/08/18,0,31,Work on 3D printer design.
23,30/08/18,4,52,"Work on 3D printer design, order parts list 1."
24,04/09/18,11,36,Work on 3D printer design.
25,07/09/18,5,36,"Research metal forging, start designing timer, 3D printer parts arrive."
26,21/09/18,5,53,3D print washers for M6 bolts(3D printer build).
27,22/09/18,7,9," assemble frame and bed frame, assemble lack tables, design brackets to mount tables, make sure assembled frame is square."
28,23/09/18,8,29,Work on 3D printer design: design and 3D printer caster attachment and redesign(V2) table mounting and reinforcement bracket.
29,24/09/18,5,42,"Print three more mounting brackets and attach, also print two more caster adapters and attach, design and implement caster spring to auto level tables, attach 3D printer to tables via l-brackets and anti-vibration padding."
30,25/09/18,2,15,"Work on 3D printer, try to print ABS with current printer."
31,26/09/18,0,48,fix old 3D printer by cutting new head onto screw and clearing nozzle.
32,27/09/18,4,32,"dry out ABS and print brackets, several fail > adjust settings > several good."
33,28/09/18,6,53,"print final two support/mounting brackets (though both cracked on install), designed and printer clamp for 12mm steel rods. Buy more filament(HTPLA from MakerGeeks). Research annealing HTPLA."
34,29/09/18,1,7,refine current 3D printer's ABS profile.
35,30/09/18,1,13,Work on 3D printer.
35,30/09/18,4,34,"Work on 3D printer, test previously printed clamp by pounding with rock-splitting hammer-very stiff, also try to fine tune and calibrate current 3D printer."
36,01/10/18,5,2,"Work on 3D printer, redesign 12mm rod clamp and tune in printer for petg."
37,02/10/18,2,54, print 3 more brackets and work on XY drive system.
38,03/10/18,0,56,start design for idler bearing for GT2 Belt.
39,04/10/18,2,58,print test of idler mount.
40,05/10/18,5,0,revise idler part and finish extra insulate enclosure.
41,06/10/18,6,20,adjust model twice again and print.
42,07/10/18,7,40,"combine idler and 12mm rod mounts and design motor and 12mm rod mount, print 1 of the motor and rod mounts."
43,08/10/18,4,48,"edit motor mount design to add larger tolerance after test print snapped, also added strengthening and ventilation; also printed test for idler and 12mm rod clamp mount and then edited design to move M6 mounting hole to better location, printed final."
44,09/10/18,5,15,print other idler mount(for the left side).
45,10/10/18,3,33,print motor mount.
46,11/10/18,3,21,succeed at printing motor mount.
47,12/10/18,4,47,"try to print right motor mount, fails at 7hrs in due to communication timeout error."
48,21/10/18,2,32,Organise papers
49,22/10/18,4,46,"Work on new 3D printer print right motor mount, start designing XY joiner."
50,23/10/18,6,9,"finish designing test part for XY Joiner, print that part, analyze: need to lower bearing and posts need adjusting so GT2 Belt does not rub against the plastic. Adding design changes tomorrow."
51,24/10/18,0,45,continue designing XY joiner.
52,25/10/18,4,39,"continue designing XY joiner, research microswitches."
53,26/10/18,2,59,print 2 test parts for XY joiner(3/8 in clamp and LM12LUU clamp) revise 3/8 clamp and retest(too large hole).
54,27/10/18,5,15,"print test prints for XY joiner; decide on redesign of LM12LUU clamp part after four(two yesterday, two today) test prints, research rotary tool add-on for print later in build."
55,28/10/18,3,48,"finish part(after last test today), printing 1 of the final 2 parts."
56,29/10/18,4,6,"print second XY Joiner, discover problem with tension belt after cutting aluminum tubes and fitting to printer, problem is triangles formed as belt moves from motor through the idlers change in size making belt too tight and too loose depending on where on the axis it is, therefore start redesign without any triangles."
57,30/10/18,4,13,redesign V2 XY Joiner and print test model.
58,31/10/18,1,23,start XY Joiner V2.1 after test last night on the test part: discovered need larger hole to insert idler bearing and also needed to be lower about 5mm.
59,01/11/18,1,35,"print test for XY Joiner, works, printing final tomorrow, design test for aluminum bushing fit. Work on PCB."
60,02/11/18,5,19,"print two finals of XY Joiner, only one successful, try to splice unsuccessful one but fail, research parts list 2."
61,03/11/18,5,40,research parts.
62,10/11/18,2,55,Work on 3D printer parts list 2.
63,11/11/18,4,37,Work on 3D printer parts list 2.
64,12/11/18,4,32,Work on 3D printer parts list 2.
65,13/11/18,4,47,Work on 3D printer parts list 2.
66,14/11/18,4,37,"Work on 3D printer parts list 2 (finished and printed), design new ventilation fan (for current printer) and insulation for it."
67,15/11/18,2,45," print second XY Joiner successfully, and post process it."
68,16/11/18,4,55,Work on 3D printer parts list: order about half of the parts. Design Z-axis 10mm rod clamp and print front-right one.
69,17/11/18,9,30,"print two more revisions of clamp, both fail."
70,15/12/18,5,4," run test on annealing regular PLA: the two samples put into boiling water a) warped and b) showed no signs of improved heat resistance over the control sample (when put in 70C water) (all samples printed with 90C heated bed, so that may have already annealed them). Also printed another Z rod clamp (this time with HatchBox Blue PLA). Started designing the Z rods and platform interface."
71,16/12/18,6,49," print two z rod clamps, design z LM10LUU clamp, start designing z motor mount."
72,17/12/18,0,31, print last three z rod clamps.
73,25/12/18,6,40, receive new parts and test the electronic parts. Build the extruder (no instructions included); have to modify to make the parts fit & work (enlarge hole in free-wheeling bearing). Also design switch holder and prepare for printing tomorrow.
74,26/12/18,6,25," print switch case and lcd case, install switch into switch case and solder wires to switch, install switch case, run wires through drilled holes in tables and install power supply; problem with power supply: unstable voltage, but fixed when noticed 110/220 select switch was broken. Send messages to AliExpress packages that have not arrived (3 total, although 1 arrived today)."
75,27/12/18,3,19," test V1 case: doesn't fit, design V2, print, still doesn't fit, design wire clamp, install Arduino + ramps and SSR onto table and wire."
76,28/12/18,5,48," design and print wire clamps, install 6 out of 11; design V3 LCD Case, print, doesn't fit well but modify and install; design PVC pipe clamp and print test part; create drawing of all past and present designs."
77,29/12/18,6,51," install more wire clips, design PVC pipe clamp and joiner, print 4 of the clamps and a test part for the joiner."
78,30/12/18,4,59, print three PVC pipe joiners.
79,31/12/18,5,30," new filament arrived (HatchBox blue PLA from Amazon), print Acrylic quick release clamp (designed yesterday), test: not strong enough clamp so start editing, print last PVC pipe joiner.."
80,01/01/19,6,3," design V2 and V3 of quick-release clamp, print one of V2 and four V3. Also design acrylic panel clamp V1, V1.1 and V1.2, print one V1.1 and four V1.2; installed weatherstripping of printer (seals)."
81,02/01/19,2,29, design V2 of acrylic clamp and print four; install fan for motors (with zip ties).
82,03/01/19,8,20,Work on new 3D printer. Design Acrylic Clamp V2.2: correct clearance with wing nut and increase clamping range; and then V2.3: decrease range and increase wing nut fillet; finally V2.4: increase range higher than first and increase wing nut range. Design toggle clamp for quick-release (idea from internet)
83,04/01/19,6,49, print V1 toggle clamp; thin plastic rods break so redesign in V2 for metal M3 bolts (25mm set screws and 30mm bolts); V2.1 to increase clamping distance.
