Parts and Materials Purchased
Qty,"Part Description, Dimensions and Selection",Cost,Supplier
,ORDER #1 of 2,,
2,Linear Shafts 10mm OD 500mm L,$15.20, Aliexpress 
2,Linear Shafts 12mm OD 500mm L,$19.10, Aliexpress 
4,Linear Bearings LM10LUU,$8.28, Aliexpress 
4,Linear Bearings LM12LUU,$8.91, Aliexpress 
2,Anti-Backlash Nut Tr8x8x2,$7.64, Aliexpress 
1,Stepper Motor for Z with Lead Screw 500mm L,$23.91, Aliexpress 
3,Nema 17 Stepper Motor 48 Ncm,$30.66, Aliexpress 
30,Aluminum 3030 Corner Brackets,$20.64, Aliexpress 
4,Locking Caster 30mmx30mm base 15kg load supporting,$11.14, Aliexpress 
10,GT2 Idler 20T W6 B3 With T 5 per lot,$8.47, Aliexpress 
2,GT2 Pulley 16 teeth 5mm bore,$1.06, Aliexpress 
4,Anti-Vibration Pads for Table 77x77x7mm LxWxH,$1.51, Aliexpress 
1,Fiberglass GT2 Belt 5m L,$5.22, Aliexpress 
8,Table Mounting Brackets ,$3.89, Aliexpress 
100,T Slot Nuts M6 m6 100pcs,$10.99, Aliexpress 
4,Aluminum Extrusion 3030 Frame 440mm L  HFS,$17.60, Misumi 
8,Aluminum Extrusion 3030 Frame 470mm L  HFS,$37.60, Misumi 
4,Aluminum Extrusion 3030 Bed 280mm L,$17.88, Misumi 
1,"Anodized Aluminum Tubing 3/8”ODx29/200""IDx72""L",$12.14, McMaster-Carr 
2,LACK Side table 550x550x450mm Feet: ~50x50mm,$29.98, IKEA 
100,M3x25x0.5 for Pulleys,$3.80, Gamut 
100,M3x0.5 Nut for Pulley 5.5mm W 2.41mm H,$0.62, Gamut 
100,M6x20x1.0 for Mounting,$10.15, Gamut 
,ORDER #2 of 2,,
50,M3 Set Screws 25mm L M3X25(50pcs),$6.99, Aliexpress 
10,Aluminum 3030 2-Hole Connector Plates for Bed 30s 10pcs,$8.99, Aliexpress 
1,Silicone Heating Pad 300x300mm 120V 750W,$24.62, Aliexpress 
10,M3 Knurled Thumb Nuts,$0.99, Aliexpress 
50,M3 Washers for Thermistor Mount,$3.36, Aliexpress 
1,SSR for Silicone Heat Pad SSR 40DA,$5.86, Aliexpress 
10,100k NTC Thermistor,$2.83, Aliexpress 
1,"Cast Aluminum Bed 1/4"" H 13"" L 13"" W",$54.48, Midwest Steel and Aluminum 
100,M6x12x1.0mm Screws For Bed Mounting,$8.08, Gamut 
10,M3 Nylon Spacers  For Bed 10mm L 5mm OD,$1.75, Gamut 
100,M3x4 Screws for Thermistor,$2.48, Gamut 
25,M3x10x0.5 for Motors,$4.57, Gamut 
4,PVC Pipe 20mm D 50cm L  White,$10.79,Aliexpress 
1,Power Supply 12V 20A,$15.25, Aliexpress 
1,Switch and C14 Socket 10A fuse  Red,$0.93, Aliexpress 
3,Silica Gel  Yellow,$7.25, Aliexpress 
1,Arduino Mega RAMPS 1.4 A4988 Stepper Drivers  Endstops  LCD,$36.85, Aliexpress 
1,Silicone Wire Flexible 10m 16AWG half of red black,$12.92, Aliexpress 
1,Acrylic Offset for Hinges 100x100x3mm A2,$3.28, Aliexpress 
10,Acrylic Hinges 25 x 33 x 3mm,$2.42, Aliexpress 
1,Titan Extruder and V6 Hotend and Motor Type 3,$25.04, Aliexpress 
1,PTFE Tube and Pneumatic Couplers 2mm ID 4mm OD 1m L  Type C,$3.28, Aliexpress 
20,M3 Wing Nuts,$1.93, Aliexpress 
1,Power Cord 10A NEMA 5-15P to C13,$7.50, Amazon 
1,Seal Strip 5mmx12mmx10m,$12.59, Amazon 
2,Acrylic Knob for Door,$1.10, Tap Plastics 
1,TAP Acrylic Cement 4oz,$7.25, Tap Plastics 
1,Acrylic Cement Applicator Small Bottle,$3.50, Tap Plastics 
4,Acrylic Sheet 19 7/8 x 18 x 3/32,$42.52, Tap Plastics 
1,Solvent Funnel,$0.95, TAP Plastics 
,ADDITIONAL SUPPLIES,,
50,More T-slot nuts,$9.99, Amazon
2,HATCHBOX PLA 3D Printer Filament 1 kg Spool 1.75 mm Blue,$39.98, Amazon
3,"Bunting Bearings EF060812 Flanged Bearing 3/8” bore, 3/4” L, 11/16” Flange OD, 1/16” Flange",$4.64,Amazon
1,Gulfcoast Robotics E3D V6 Clone Hotend 1.75mm All-metal,$18.99,Amazon
1,Heat Shrink Tube,$0.00,
1,4-Core Cable,$0.00,
1,Wire wrap,$0.00,
1,Solder,$0.00,
1,Hot glue,$0.00,
1,Stronger Glue (Hobby cement/super glue),$0.00,
1,Tape for insulating low-voltage wires,$0.00,
1,Light Moto Oil for oiling rods on both old and new printers,$0.00,
1,1-1/4” Coarse Drywall Screws,$0.00,
,TOOLS REQUIRED,,
1,SD Card Reader ($7.99),, Amazon 
3,Irwin M3x0.5 Taps  Bottoming Taper and Plug types ($9.54),, Amazon 
1,Irwin Tap Wrench ($8.26),, Amazon 
