Parts Designed (Final Versions)
Part Name,Version Number,
12mm Steel Rod Clamp part 1,3.0,N
12mm Steel Rod Clamp part 2,3.0,N
12mm Steel Rod Clamp part 1,4.0,N
12mm Steel Rod Clamp part 2,4.0,N
12mm Steel Rod Clamp (added to Motor and Idler Mounts),6.0,N
Acrylic Panel Clamp,1.0,N
Acrylic Panel Clamp,1.1,N
Acrylic Panel Clamp,1.2,N
Acrylic Panel Clamp,2.0,N
Acrylic Panel Clamp,2.1,N
Acrylic Panel Clamp,2.2,N
Acrylic Panel Clamp,2.3,N
Acrylic Panel Clamp,2.4,Y
Acrylic Quick-Release Clamp Base,1.0,N
Acrylic Quick-Release Clamp Base,2.0,N
Acrylic Quick-Release Clamp Base,3.0,N
Acrylic Quick-Release Clamp Lever,1.0,N
Acrylic Quick-Release Clamp Lever,2.0,N
Acrylic Toggle Clamp Base,1.0,N
Acrylic Toggle Clamp Base,1.1,N
Acrylic Toggle Clamp Base,2.0,N
Acrylic Toggle Clamp Base,2.1,N
Acrylic Toggle Clamp Base,3.1,Y
Acrylic Toggle Clamp Connector Left and Right,1.0,N
Acrylic Toggle Clamp Connector,2.0,Y
Acrylic Toggle Clamp Lever,1.0,N
Acrylic Toggle Clamp Lever,2.0,N
Acrylic Toggle Clamp Lever,3.0,Y
Acrylic Toggle Clamp Handle,1.0,N
Acrylic Toggle Clamp Handle,2.0,N
Acrylic Toggle Clamp Handle,3.0,N
Acrylic Toggle Clamp Handle,4.0,N
Acrylic Toggle Clamp Handle,4.1,N
Acrylic Toggle Clamp Handle,4.2,Y
Acrylic Toggle Clamp Moving Clamp,1.0,N
Acrylic Toggle Clamp Moving Clamp,1.1,Y
Acrylic Toggle Clamp 4x Pivots,1.0,N
Belt Idler (added to idler mount),4.0,N
Bronze Bushing Holder from Bushing Holder V5,5.0,N
Bronze Bushing Holder from Bushing Holder V5.1,5.1,Y
Bushing Holder,1.0,N
Bushing Holder,2.2,N
Bushing Holder,2.3,N
Bushing Holder,3.0,N
Bushing Holder,3.1,N
Bushing Holder,4.2,N
Caster Adapter for IKEA Lack,1.0,Y
Endstop Mount 9.525mm,1.0,N
Endstop Mount 9.525mm,2.0,N
Endstop Mount 9.525mm,3.1,N
Endstop Mount 9.525mm,3.2,N
Endstop Mount 9.525mm,3.3,N
Endstop Mount 9.525mm,3.4,N
Endstop Mount 9.525mm (X axis clamp rotated),5.0,N
Endstop Mount 9.525mm (X axis clamp rotated),6.0,Y
Endstop Mount 10mm,1.0,N
Endstop Mount 10mm,3.4,N
Endstop Mount 10mm,3.5,Y
Endstop Mount 10mm,4.0,N
Endstop Mount 10mm,5.0,N
Endstop Mount 10mm,5.1,N
Endstop Mount 10mm (opposite orientation of endstop),5.1,Y
Endstop Mount 12mm,1.0,N
Endstop Mount 12mm,3.4,N
Endstop Mount 12mm,3.5,Y
Extruder Mount,1.0,Y
Filament Runout Sensor Clip,1.0,N
Filament Runout Sensor Clip,2.0,N
Filament Runout Sensor Clip,3.0,N
Filament Runout Sensor Clip,4.0,Y
"Idler Mount and 12mm Rod Clamp, Left",1.0,N
"Idler Mount and 12mm Rod Clamp, Right",1.0,N
LCD and Controls Case,1.0,N
LCD and Controls Case,2.0,N
LCD and Controls Case,3.0,N
LCD and Controls Case,3.1,Y
"M6x6.5 Spacer, wider",1.0,N
M6x8.5 Spacer,1.0,N
"M6x8.5 Spacer, wider",1.0,Y
"Motor Mount and 12mm Rod Clamp, Left",1.0,N
"Motor Mount and 12mm Rod Clamp, Right",1.0,N
PVC Pipe Clamp,1.0,N
PVC Pipe Clamp,1.1,N
PVC Pipe Clamp,2.0,Y
PVC Pipes Joiner,1.1,Y
